S/N,Order #,Tracking #,AWB,Carrier,Company,Order Sources,Creation Date,Pending Since,Delivery Date
"392",="2601153448FGNT","CLL3MNE115645557 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"393",="26011534RKT7BY","CLL3MNE115645559","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"394",="260115347APH0N","CLL3MNE115645563 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"395",="260115347229BJ","CLL3MNE115645564 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"396",="26011534NV1YXU","CLL3MNE115645568","","J&T","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"397",="260115344XBVXH","CLL3MNE115645574 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"398",="260115347VR00R","CLL3MNE115645575 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"399",="260115345S22Q6","CLL3MNE115645573 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"400",="2601153449CWUN","CLL3MNE115645576 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"401",="260115347H9T44","CLL3MNE115645578 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"402",="260115344PQDX8","CLL3MNE115645582 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"403",="2601153464GF0W","CLL3MNE115645584 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"404",="260115344KVMWF","CLL3MNE115645585 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"405",="260115349AJMDX","CLL3MNE115645583 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"406",="26011534QCN17B","CLL3MNE115645586","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"407",="26011534X39AYM","CLL3MNE115645601","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"408",="26011534X3A1T2","CLL3MNE115645602","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"409",="26011534DSJ8G7","CLL3MNE115645603 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"410",="26011534WTMW5U","CLL3MNE115645608","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"411",="26011534WNX859","CLL3MNE115645611","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"412",="26011534CS522U","CLL3MNE115645612 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"413",="26011534CHJ1X5","CLL3MNE115645614 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"414",="26011534DXCC9Q","CLL3MNE115645616 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"415",="26011534AA2KDJ","CLL3MNE115645621 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"416",="26011534AKKR8G","CLL3MNE115645627 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"417",="26011534YAC1M4","CLL3MNE115645636","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"418",="260115348GSK3D","CLL3MNE115645641 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"419",="26011534UDF5Q3","CLL3MNE115645643","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"420",="26011534AFPRBN","CLL3MNE115645648 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"421",="26011534ES1Q9Y","CLL3MNE115645646 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"422",="26011534ABVWUG","CLL3MNE115645649 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"423",="26011534VA1XCE","CLL3MNE115645653","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"424",="260115349XK9NH","CLL3MNE115645656 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"425",="26011534CHHDW5","CLL3MNE115645659 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"426",="26011534YRMB0J","CLL3MNE115645662","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"427",="26011534BM0AUQ","CLL3MNE115645664 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"428",="26011534BG7955","CLL3MNE115645670 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"429",="26011534BJ3HC8","CLL3MNE115645671 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"430",="26011534BSNWKY","CLL3MNE115645674 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"431",="26011534EAR1SY","CLL3MNE115645680 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"432",="26011534BWJHUT","CLL3MNE115645693 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"433",="26011534EYQA2Y","CLL3MNE115645694 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"434",="26011534BF72NV","CLL3MNE115645695 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"435",="26011532SQH605","CLL3MNE115645700","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"436",="26011534HTCUF9","CLL3MNE115645714 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"437",="26011534MM18Q8","CLL3MNE115645715 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"438",="26011534FC3VD5","CLL3MNE115645722 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"439",="26011534F5GSTA","CLL3MNE115645726 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"440",="582120758314108364","CLL3MNE115645727","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","15 Jan, 2026","10 hrs ago","16 Jan, 2026 11AM - 8PM"
"441",="26011534H2HKKE","CLL3MNE115645749 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"442",="26011534MEA7QC","CLL3MNE115645751 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"443",="26011534H4E69H","CLL3MNE115645760 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"444",="26011534GTU88C","CLL3MNE115645762 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"445",="26011534FMQFC4","CLL3MNE115645763 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"446",="26011534GUUXTF","CLL3MNE115645764 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"447",="26011534DH0HKC","CLL3MNE115645765 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"448",="26011534JXHS8Q","CLL3MNE115645774 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"449",="26011534JYHJ8W","CLL3MNE115645775 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"450",="260115355BYMT8","CLL3MNE115645777","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"451",="26011534GYNXV2","CLL3MNE115645778 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"452",="26011534HNJ3NG","CLL3MNE115645779 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"453",="26011534HB2T2J","CLL3MNE115645780 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"454",="26011535379T4P","CLL3MNE115645782","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"455",="26011534KMJ96N","CLL3MNE115645783 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"456",="2601153533G0A2","CLL3MNE115645786","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"457",="26011534K2EA0P","CLL3MNE115645789 $","","J&T","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"458",="26011534GK9DBC","CLL3MNE115645790 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"459",="26011534KY1QY1","CLL3MNE115645794 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"460",="26011534G3Y2VN","CLL3MNE115645795 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"461",="26011534GQYRAE","CLL3MNE115645799 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"462",="26011534FVBU8E","CLL3MNE115645804 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"463",="26011534CYVNJ3","CLL3MNE115645805 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"464",="260115350KCQA4","CLL3MNE115645807","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"465",="26011534N37NDR","CLL3MNE115645813 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"466",="2601153507XSJ6","CLL3MNE115645815","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"467",="260115350XU6G6","CLL3MNE115645820","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"468",="26011534K1EVW5","CLL3MNE115645821 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"469",="26011534V0GEWG","CLL3MNE115645829","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"470",="26011534KX3606","CLL3MNE115645836 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"471",="26011535199QB8","CLL3MNE115645841","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"472",="26011534QWVCRV","CLL3MNE115645847 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"473",="260115358J0MBR","CLL3MNE115645848","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"474",="26011534S153RB","CLL3MNE115645856 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"475",="260115356M1MDM","CLL3MNE115645863","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"476",="260115355W32DJ","CLL3MNE115645868","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"477",="260115356E8VQY","CLL3MNE115645884","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"478",="26011534RHWVUQ","CLL3MNE115645910 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"479",="26011534R0QE9M","CLL3MNE115645911 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"480",="26011534RMSKFB","CLL3MNE115645920 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"481",="26011534R2K4YJ","CLL3MNE115645921 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"482",="26011534SGDHPA","CLL3MNE115645926 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"483",="26011535AHWPFJ","CLL3MNE115645927","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"484",="26011535909127","CLL3MNE115645936","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"485",="26011534SVSH7F","CLL3MNE115645939 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"486",="26011534MSPEF4","CLL3MNE115645940 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"487",="26011535B8TMKC","CLL3ARA115645946","","SPX Express","ARLA PH","Shopee Philippines (Arla Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"488",="26011534SYPQ2S","CLL3MNE115645948 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"489",="26011534SXQCCH","CLL3MNE115645950 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"490",="26011534QUXA9Q","CLL3MNE115645951 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"491",="26011534P3N72U","CLL3MNE115645953 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"492",="2601153567JQ6M","CLL3ARA115645959","","SPX Express","ARLA PH","Shopee Philippines (Arla Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"493",="26011534PAABQN","CLL3MNE115645963 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"494",="26011534VCW2SQ","CLL3MNE115645964 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"495",="26011534P1S2G2","CLL3MNE115645965 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"496",="26011534PSMBCY","CLL3MNE115645973 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"497",="26011535ESAH01","CLL3MNE115645978","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"498",="26011534TEWHG1","CLL3MNE115645989 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"499",="26011534X6559S","CLL3MNE115645997 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"500",="26011534RY93A9","CLL3MNE115645999 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"501",="26011534UDDT3N","CLL3MNE115646000 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"502",="26011534TTD5B2","CLL3MNE115646005 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"503",="26011534XDRG44","CLL3MNE115646007 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"504",="26011534SP3KBP","CLL3MNE115646009 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"505",="26011534XYTYD0","CLL3MNE115646011 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"506",="26011534TY3Q5H","CLL3MNE115646015 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"507",="26011534XT5AJJ","CLL3MNE115646021 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"508",="260115359FKC1S","CLL3MNE115646027","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"509",="26011535ECW3KQ","CLL3MNE115646029","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"510",="26011535CW93VD","CLL3MNE115646033","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"511",="26011535EW4FJK","CLL3ARA115646041","","SPX Express","ARLA PH","Shopee Philippines (Arla Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"512",="26011535ASG384","CLL3MNE115646042","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"513",="2601153534F1BU","CLL3MNE115646055 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"514",="26011535NTCTN4","CLL3MNE115646080","","Shopee Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","16 Jan, 2026 11AM - 8PM"
"515",="26011535HMURKV","CLL3ARA115646081","","SPX Express","ARLA PH","Shopee Philippines (Arla Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"516",="2601153532FXJR","CLL3MNE115646087 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"517",="26011535D6T9T2","CLL3MNE115646088","","J&T","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"518",="260115353C1678","CLL3MNE115646090 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"519",="260115352HCGSA","CLL3MNE115646094 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"520",="26011535DXMMNE","CLL3MNE115646096","","J&T","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"521",="26011535MN79DP","CLL3MNE115646098","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"522",="2601153509UFUK","CLL3MNE115646104 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"523",="26011534YUH8BN","CLL3MNE115646108 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"524",="26011535N4FNRE","CLL3MNE115646112","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"525",="26011535763RV6","CLL3ARA115646116 $","","SPX Express","ARLA PH","Shopee Philippines (Arla Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"526",="26011535MK90H1","CLL3ARA115646118","","SPX Express","ARLA PH","Shopee Philippines (Arla Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"527",="26011535MGFD04","CLL3MNE115646120","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"528",="26011535MTVXH6","CLL3MNE115646122","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
"529",="26011535NC1U28","CLL3MNE115646123","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","10 hrs ago","15 Jan, 2026 11AM - 8PM"
